-479.801,525.846,953.93,-301.627,683.5,930.24,-439.428,761.576,590.91,-481.97,658.142,446.602,-608.593,705.021,259.586,-604.756,598.083,46.5454,-474.963,591.577,17.5171,-284.945,433.423,932.576,-228.389,330.322,602.588,-202.865,432.755,456.111,-215.71,370.361,237.899,-109.273,470.125,51.0498,26.0254,493.648,58.7239
-454.11,525.179,949.426,-278.105,685.669,925.903,-419.743,761.91,587.74,-465.954,657.141,445.935,-599.918,702.685,263.09,-603.088,596.582,50.0488,-475.297,589.408,14.3473,-257.918,435.258,927.738,-206.535,329.488,595.414,-181.844,432.922,450.272,-179.342,371.529,231.225,-55.0537,471.793,54.2195,79.9113,497.151,69.5678
-428.251,524.678,945.756,-253.581,688.505,922.566,-399.389,762.243,584.904,-448.938,656.474,444.267,-590.576,700.516,267.094,-600.753,595.914,54.3864,-474.63,588.24,13.5132,-231.225,436.759,923.567,-181.51,329.988,590.075,-157.821,433.756,446.269,-144.975,372.029,225.72,-18.1844,478.3,51.5503,117.615,499.153,73.9054
-401.558,524.345,942.586,-227.055,690.173,919.73,-377.201,762.41,583.069,-427.917,656.974,443.099,-578.064,700.683,273.6,-597.583,597.082,60.2254,-473.962,588.24,13.3463,-204.199,437.427,921.565,-153.984,332.491,586.238,-129.293,435.591,445.268,-120.451,374.365,223.718,3.50342,476.965,50.7161,138.635,501.155,66.8986
-373.531,524.512,940.083,-199.027,690.34,916.894,-352.51,762.744,581.901,-404.061,657.975,442.098,-560.713,703.353,279.439,-593.078,599.752,68.0664,-473.128,588.741,13.5132,-176.339,437.427,920.064,-122.119,333.826,587.907,-98.4293,437.427,445.434,-104.769,377.535,224.052,10.6771,477.966,43.8761,144.975,503.658,51.0498
-344.669,525.012,939.082,-169.665,689.005,914.559,-325.818,763.244,581.067,-375.867,659.31,440.596,-537.858,707.356,286.78,-586.238,603.255,78.4098,-471.293,589.408,14.1805,-147.644,436.426,920.564,-92.4235,335.661,589.241,-69.7347,439.095,445.601,-88.9201,380.538,225.053,12.1785,481.47,37.5366,147.143,504.659,34.7005
-315.474,525.179,939.75,-138.969,685.836,913.724,-293.786,763.912,580.399,-343.835,660.978,438.094,-513.334,711.527,295.121,-575.394,607.092,91.5893,-468.29,590.409,15.5151,-118.282,435.258,923.734,-65.0634,337.829,591.744,-44.7103,440.096,447.27,-62.3942,382.206,229.224,24.3571,481.636,40.7064,158.988,507.662,27.6937
-286.446,526.013,943.42,-108.105,683.667,915.226,-255.416,766.08,580.399,-305.131,664.148,438.261,-481.47,716.032,306.966,-557.877,611.096,107.605,-464.119,591.243,16.6829,-89.2537,434.257,928.739,-38.0371,339.331,595.914,-20.1864,441.264,450.106,-46.8791,382.039,234.729,31.5307,481.803,41.3737,164.16,513.501,18.3512
-258.085,526.68,946.757,-78.9103,682.499,918.062,-215.043,768.917,580.566,-260.254,670.821,435.591,-444.767,717.033,320.98,-532.019,614.599,125.956,-456.946,591.41,18.8517,-61.0595,432.922,934.078,-9.50927,339.831,600.419,4.17073,442.932,451.941,-29.0283,378.703,234.062,34.8673,482.47,41.5405,168.331,514.669,17.1834
-230.892,527.348,949.926,-51.3834,681.331,919.897,-169.332,772.42,577.897,-209.371,675.659,431.588,-400.557,715.865,334.993,-498.987,616.935,145.642,-444.433,591.744,26.1922,-34.2,431.754,938.749,19.519,340.499,604.59,26.5259,443.933,452.108,-10.5103,374.365,234.729,36.3688,483.138,41.5405,170.333,514.835,16.3493
-204.866,527.348,952.762,-24.8576,680.33,921.065,-123.12,775.256,574.393,-155.652,679.329,426.249,-353.511,715.531,346.171,-460.115,618.603,165.995,-426.75,592.578,39.3717,-7.84098,430.587,941.919,41.2069,339.665,606.425,39.8722,441.597,453.609,-2.8361,373.531,239.734,36.5356,482.971,41.5405,170.5,514.669,15.8488
-179.842,527.014,955.932,-1.00098,679.83,924.735,-86.5844,776.758,575.061,-103.101,682.332,426.916,-300.293,717.533,356.181,-416.072,618.937,184.68,-385.543,595.914,58.5571,18.1844,430.086,944.588,54.3864,337.162,605.757,49.3815,439.428,453.609,0.667317,371.195,240.401,36.202,481.803,41.3737,170.166,514.335,15.8488
-155.652,526.513,959.269,22.0215,679.996,928.239,-52.2176,776.924,577.396,-51.3834,685.168,430.753,-245.906,719.034,365.356,-368.359,618.103,201.363,-340.332,603.589,71.7366,43.5425,430.253,947.924,65.7308,334.827,605.591,57.8898,437.593,453.609,3.16976,369.861,240.902,35.8683,480.969,40.8732,169.999,513.834,15.682
-131.795,525.846,962.439,44.7103,680.497,932.409,-17.3503,775.923,580.9,-1.33463,687.17,437.927,-190.519,718.701,373.865,-312.972,619.104,208.37,-279.773,611.096,79.0771,67.8995,430.92,951.261,77.0752,333.492,605.924,65.8976,436.259,453.609,4.33756,369.861,241.402,35.7015,480.469,40.8732,169.832,513.334,15.682
-107.939,525.012,965.775,67.5659,680.33,936.747,18.5181,774.589,584.737,48.2137,687.337,445.935,-135.966,716.699,382.039,-254.915,619.938,209.037,-217.212,618.27,82.9142,91.5893,430.253,955.599,90.5883,333.325,605.757,74.2391,435.758,453.442,5.50537,370.361,242.904,35.3678,480.302,41.04,169.332,512.833,15.682
-83.9152,524.011,968.945,90.922,679.496,940.918,54.72,773.755,588.908,96.761,686.503,454.443,-83.5815,714.03,390.214,-195.024,621.773,203.532,-146.643,623.441,80.0781,115.112,429.586,955.932,104.936,333.492,605.09,81.5796,435.091,453.109,7.84098,370.194,244.405,35.3678,480.302,41.04,169.165,512.5,15.682
-59.8917,523.677,970.947,114.779,678.495,944.421,90.922,773.588,593.412,142.139,686.169,462.951,-35.201,712.028,388.879,-133.297,623.608,192.688,-73.2381,628.947,74.9064,138.802,428.751,955.432,119.116,333.659,604.256,87.2518,433.589,452.608,10.8439,369.861,245.072,35.5347,480.302,41.04,168.831,511.999,15.0146
-36.202,523.844,971.948,138.802,677.661,946.59,127.624,774.255,597.75,185.181,686.169,470.459,10.6771,710.693,380.871,-68.0664,625.61,175.004,3.67025,634.619,67.2322,162.325,427.75,954.931,132.796,333.826,603.422,93.7581,432.422,452.441,13.8468,369.527,245.906,35.3678,479.968,41.3737,167.997,510.998,14.5142
-12.3454,524.678,971.781,163.493,676.993,947.924,164.327,775.923,602.087,226.221,686.336,475.964,57.0556,711.527,368.359,0,627.445,154.984,83.2478,639.624,57.5561,185.681,426.75,953.763,146.81,333.992,602.254,101.599,432.088,452.274,16.6829,369.36,247.742,35.3678,479.634,41.8742,167.497,510.164,14.1805
